T1F.Punch,T1F.X,T1F.Y,T1H.Punch,T1H.X,T1H.Y,T1K.Punch,T1K.X,T1K.Y,T1L.Punch,T1L.X,T1L.Y,T1O.Punch,T1O.X,T1O.Y,T1Q.Punch,T1Q.X,T1Q.Y,T1S.Punch,T1S.X,T1S.Y,T1V.Punch,T1V.X,T1V.Y,T1Y.Punch,T1Y.X,T1Y.Y,T1Z.Punch,T1Z.X,T1Z.Y,T1AB.Punch,T1AB.X,T1AB.Y,T1F_boundary.X,T1F_boundary.Y,T1H_boundary.X,T1H_boundary.Y,T1K_boundary.X,T1K_boundary.Y,T1L_boundary.X,T1L_boundary.Y,T1O_boundary.X,T1O_boundary.Y,T1Q_boundary.X,T1Q_boundary.Y,T1S_boundary.X,T1S_boundary.Y,T1V_boundary.X,T1V_boundary.Y,T1Y_boundary.X,T1Y_boundary.Y,T1Z_boundary.X,T1Z_boundary.Y,T1AB_boundary.X,T1AB_boundary.Y
T1F2,10.56233269,22.53297641,T1H01,30.56034925,19.99801656,T1K01,54.07914338,20.84300318,T1L1,14.78726577,44.5026284,T1O01,28.02538941,44.3617973,T1Q01,39.15104651,31.40533587,T1S01,57.03659653,31.12367366,T1V03,9.576514973,65.90895599,T1Y08,30.27868705,61.82485402,T1Z1,41.40434415,63.09233394,T1AB02,54.36080558,54.50163669,21.26549648,22.67380751,42.95348628,16.6180701,57.88158315,20.98383428,5.155727876,37.13886182,20.88975543,37.73928937,36.7497958,34.47030771,50.96048877,37.25756123,5.726518861,58.19931466,20.07061465,57.82116132,35.0670594,57.73397469,50.64911343,58.32153675
T1F4,14.64643466,21.54715869,T1H02,32.53198469,19.57552325,T1K02,52.38917015,24.50461184,T1L3,11.68898151,44.2209662,T1O02,25.77209177,43.79847289,T1Q02,41.68600635,30.56034925,T1S02,59.14906307,31.54616697,T1V05,10.8439949,64.07815166,T1Y13,22.81463861,59.28989417,T1Z3,40.27769533,59.00823197,T1AB03,51.96667684,56.33244102,21.969652,21.82882089,42.67182407,17.88555002,57.31825874,21.969652,5.226143427,38.83469344,20.96017098,39.02928389,36.67938025,35.86793579,50.98269705,38.80689481,5.726518861,59.50022186,20.07061465,58.4327313,34.99664385,59.10736512,50.64911343,59.26669035
T1F9,14.22394136,9.576514973,T1H06,30.98284256,21.68798979,T1K03,50.13587251,23.51879413,T1L6,9.999008281,38.5877221,T1O05,28.16622051,42.24933076,T1Q03,44.2209662,31.12367366,T1S03,59.43072527,33.51780241,T1V06,8.027372845,62.81067174,T1Y14,25.34959846,58.86740086,T1Z5,40.84101974,53.51581897,T1AB05,57.88158315,55.0649611,22.67380751,20.98383428,42.53099297,18.73053664,56.89576543,22.67380751,5.433714228,35.07441111,20.98613169,36.54211013,36.91658761,32.91358414,51.09389159,35.97143401,5.726518861,60.53428515,20.23740646,56.62582,35.27463021,56.44600955,50.81590524,57.40418179
T1F11,19.29386105,10.984826,T1H07,33.94029571,21.969652,T1K04,49.15005479,21.68798979,T1L8,11.68898151,32.25032248,T1O06,26.47624728,42.10849966,T1Q05,38.16522879,33.65863351,T1S04,60.5573741,34.36278902,T1V08,11.68898151,61.12069851,T1Y15,28.58871382,59.00823197,,,,T1AB07,60.8390363,58.72656976,23.23713192,19.99801656,42.10849966,19.57552325,56.33244102,23.23713192,5.504129779,40.32655354,21.12696279,40.11343067,36.64974369,37.39123208,51.09389159,39.75204841,5.837713402,57.14848029,20.16699091,59.43164424,35.28944849,60.19518774,50.81590524,60.23964259
T1F14,18.16721223,9.435683871,T1H10,36.61608666,21.40632759,T1K07,50.41753471,20.98383428,T1L10,16.05474569,33.3769713,T1O07,24.64544295,41.68600635,T1Q06,40.70018864,32.954478,T1S07,56.89576543,35.34860674,T1V09,9.294852768,61.12069851,T1Y18,22.95546972,56.47327212,,,,T1AB08,56.47327212,57.88158315,23.65962523,19.29386105,41.68600635,20.42050987,55.62828551,23.80045633,5.948907943,33.25828721,21.20852077,35.08922939,36.83135378,38.97380149,51.2606834,35.13747496,5.837713402,61.4349839,20.51539281,55.78259473,35.69344766,61.18479619,51.09389159,56.57948895
T1F23,13.37895474,6.900724025,T1H11,29.71536264,17.88555002,T1K09,54.21997448,18.87136774,T1L13,8.449866153,31.82782918,T1O09,27.18040279,39.99603312,T1Q07,42.53099297,32.954478,T1S08,58.72656976,36.75691776,T1V11,13.37895474,58.58573866,T1Y19,26.47624728,56.33244102,,,,T1AB09,58.58573866,58.86740086,23.94128743,18.44887443,41.40434415,21.26549648,55.0649611,24.50461184,5.948907943,41.66459451,21.34935187,41.00298699,37.19457396,31.98696296,51.2606834,40.58600746,5.948907943,56.09764593,20.45979554,60.32303849,35.74904493,55.2822193,51.09389159,60.99020574
T1F24,7.74571064,10.56233269,T1H12,36.19359335,18.02638113,T1K10,52.67083235,17.32222561,,,,T1O13,31.68699807,38.7285532,T1Q08,44.3617973,33.0953091,T1S09,61.40236071,37.88356659,T1V12,10.70316379,59.14906307,T1Y21,30.84201146,56.47327212,,,,T1AB11,54.21997448,59.14906307,24.22294964,17.46305672,40.84101974,21.82882089,54.07914338,24.78627405,6.616075189,31.9525456,21.57174095,33.88653637,37.06856114,40.35626668,51.48307248,34.35911317,6.004505214,62.2967416,20.7377819,60.99020574,36.13822582,54.6521169,51.48307248,55.87525685
T1F25,5.633244102,12.11147482,T1H13,31.82782918,6.759892922,T1K13,54.78329889,16.19557679,,,,T1O14,33.94029571,38.30605989,T1Q10,46.75592605,33.0953091,T1S14,53.93831228,36.89774887,T1V16,14.78726577,56.19160992,T1Y22,25.77209177,53.37498787,,,,T1AB12,56.05077881,60.27571189,24.50461184,16.6180701,40.41852643,22.53297641,52.67083235,25.20876736,6.579010342,42.93962525,21.62733822,41.82767984,37.36136578,41.78134878,51.48307248,41.41996652,6.060102484,55.20808961,20.84897644,55.07836264,36.13822582,61.9075607,51.48307248,61.74076889
T1F27,7.323217332,15.91391459,T1H14,29.85619374,8.449866153,T1K16,54.92412999,13.37895474,,,,T1O15,29.43370043,38.02439769,T1Q11,39.99603312,36.05276225,T1S15,59.28989417,40.98185084,T1V17,10.984826,55.2057922,T1Y24,21.54715869,61.54319181,,,,T1AB13,58.16324535,61.12069851,24.64544295,15.63225238,39.43270871,23.37796302,51.40335243,24.92710515,7.697694816,30.85143083,21.84972731,33.19157049,37.63935213,31.23454657,51.76105884,33.58075138,6.226894296,54.26293601,21.2937546,54.36301109,36.69419853,62.60252658,52.04698766,55.27162934
T1F28,7.323217332,19.15302995,T1H15,28.02538941,11.1256571,T1K17,51.96667684,13.94227915,,,,T1O17,32.25032248,37.03857997,T1Q13,42.95348628,35.34860674,T1S16,51.68501463,37.03857997,T1V19,9.154021666,57.17742763,,,,,,,T1AB14,52.24833905,59.85321858,24.50461184,14.64643466,38.8693843,23.80045633,50.13587251,24.50461184,7.283242435,43.95520206,21.96092185,42.62457405,37.58375486,42.53191193,51.76105884,42.16126346,6.226894296,63.10290202,21.23815733,61.74076889,36.80539307,53.81815784,51.98344792,62.41349586
T1F29,8.590697255,21.12466538,T1H22,35.34860674,6.61906182,T1K18,55.76911661,11.82981261,,,,T1O19,32.53198469,35.20777564,T1Q14,45.48844612,35.48943784,T1S17,52.81166346,40.13686423,T1V20,14.08311025,52.81166346,,,,,,,T1AB15,54.36080558,62.38817843,24.50461184,13.80144805,38.16522879,24.22294964,49.5725481,23.94128743,8.673174198,29.68894245,22.35010274,32.54293567,37.86174121,43.27320887,52.09464246,32.85798687,6.449283378,53.42897695,21.62733822,53.98494966,37.36136578,63.21409656,52.53942062,62.96390884
T1F30,8.87235946,13.23812364,T1H28,31.54616697,13.09729254,T1K19,53.79748117,11.82981261,,,,T1O20,33.0953091,33.51780241,T1Q16,44.64345951,37.60190438,,,,T1V21,11.54815041,53.51581897,,,,,,,T1AB16,56.05077881,63.37399615,24.22294964,12.67479923,37.46107328,24.64544295,48.86839258,23.23713192,8.792311206,45.3753152,22.44276486,43.45853311,38.23980265,30.63409605,52.09464246,42.86549556,6.504880648,63.84419896,21.90532458,62.60252658,37.44476168,53.26218514,52.67285407,54.54092236
T1F31,9.294852768,17.74471892,T1H29,30.13785595,14.78726577,T1K20,47.74174376,16.05474569,,,,T1O22,31.96866028,32.81364689,T1Q20,45.34761502,39.43270871,,,,T1V24,7.464048435,54.50163669,,,,,,,T1AB17,58.02241425,63.23316504,24.08211854,11.82981261,36.47525556,24.92710515,48.30506817,22.53297641,9.914846572,28.94764551,22.73928363,31.69044418,38.19532483,43.97744097,52.48382335,32.19081962,6.782867001,52.6784138,22.53913346,53.09539333,38.11192893,52.81740697,53.26218514,63.49208291
T1F32,10.42150159,20.70217207,T1H35,34.50362012,13.51978584,T1K21,48.72756148,14.22394136,,,,T1O23,30.27868705,32.25032248,T1Q23,39.85520202,42.24933076,,,,,,,,,,,,,,,,23.65962523,11.1256571,34.92611343,25.20876736,47.88257487,21.969652,10.12982269,46.09013724,23.04506862,44.31102459,38.640103,44.71132494,52.50235578,43.6067925,6.894061542,64.60402832,22.54469319,63.15849929,38.28428047,63.83678599,53.37337968,54.04054693
T1F33,11.1256571,10.984826,T1H36,33.51780241,15.63225238,T1K23,50.55836581,12.11147482,,,,T1O24,29.15203823,32.954478,T1Q25,43.09431738,41.54517525,,,,,,,,,,,,,,,,23.23713192,10.13983938,33.51780241,25.06793625,47.46008156,20.98383428,11.06385683,28.55846461,23.32305497,30.96767967,38.97368662,30.18931788,52.98419879,31.47917456,7.283242435,51.98344792,23.1840618,52.65061516,38.94588799,52.40042745,54.06834556,63.90906244
T1F34,11.40731931,16.05474569,T1H39,37.32024218,11.2664882,T1K24,48.44589928,11.40731931,,,,T1O25,27.18040279,32.25032248,T1Q31,42.24933076,45.06595282,,,,,,,,,,,,,,,,22.81463861,9.294852768,32.81364689,24.78627405,47.17841935,20.42050987,11.39744045,46.40518844,23.62883996,44.97819183,39.60378902,29.92986395,52.98419879,44.25542732,7.477832882,65.43798738,23.21186043,63.60327745,39.12194601,64.21484743,54.34816984,53.55039496
T1F35,12.11147482,19.15302995,T1H44,38.02439769,13.80144805,T1K26,58.30407645,16.89973231,,,,T1O26,27.6028961,30.70118036,,,,,,,,,,,,,,,,,,,22.1104831,8.449866153,31.54616697,24.22294964,46.89675715,19.29386105,12.46895148,28.30911928,23.85122904,30.4395056,39.61305523,45.70095635,53.54017149,30.85648513,7.978208317,51.48307248,23.85122904,52.31703154,39.92251607,52.07982418,54.7262466,64.14071773
T1F36,12.81563033,22.53297641,T1H47,39.85520202,12.53396813,T1K27,58.30407645,13.94227915,,,,T1O27,30.13785595,30.70118036,,,,,,,,,,,,,,,,,,,21.54715869,7.74571064,30.27868705,23.37796302,46.61509494,18.73053664,12.82708455,46.391951,24.45167957,45.64535908,40.34508596,46.0530724,53.59576876,44.92259456,8.172798763,66.13295326,23.99948843,63.99245835,39.97443749,64.47430136,55.40819383,53.32149655
T1F37,9.435683871,7.74571064,,,,T1K29,58.58573866,11.2664882,,,,T1O28,25.20876736,30.56034925,,,,,,,,,,,,,,,,,,,20.98383428,7.18238623,29.43370043,22.67380751,46.33343274,17.60388782,14.00433469,28.37314038,24.51839629,29.91133153,40.41921565,29.74453972,54.25181655,30.30051242,8.654641774,51.20508613,24.66665568,52.02051276,41.26420227,51.91303237,56.48671196,53.24736686
T1F38,13.94227915,12.67479923,,,,T1K30,55.76911661,8.168203948,,,,T1O29,25.63126066,38.02439769,,,,,,,,,,,,,,,,,,,19.99801656,6.61906182,28.58871382,21.68798979,46.05177053,16.6180701,14.43675791,45.9789427,25.21336217,29.494352,41.58675833,29.63334518,54.28146843,45.46003485,8.839966009,66.54993279,24.88904476,64.28897712,41.05295561,64.54843105,55.5972705,64.32604197
T1F39,13.80144805,15.20975908,,,,T1K31,53.37498787,8.449866153,,,,T1O31,26.33541618,35.91193115,,,,,,,,,,,,,,,,,,,19.29386105,6.196568512,28.02538941,20.70217207,46.05177053,15.63225238,15.32631423,29.24416428,25.14849869,46.09013724,41.80914742,46.03453997,55.06909643,29.82793562,9.67760092,50.94934634,25.24116081,51.87225338,42.30952285,51.98344792,56.69072178,64.32604197
T1F40,14.50560356,17.88555002,,,,T1K33,49.9950414,8.449866153,,,,T1O32,27.462065,34.22195792,,,,,,,,,,,,,,,,,,,18.16721223,5.633244102,27.462065,19.71635436,45.91093943,14.50560356,15.71178864,45.22281982,25.93612669,29.16076838,41.97593923,29.63334518,54.98570052,45.86774816,9.685029205,66.84645156,25.68593897,64.43723651,42.1909766,64.47430136,57.43198043,53.35484726
T1F41,16.05474569,9.435683871,,,,T1K34,48.02340597,8.449866153,,,,T1O36,23.94128743,36.19359335,,,,,,,,,,,,,,,,,,,17.32222561,5.351581897,27.03957169,18.58970554,45.77010833,13.37895474,16.53709924,30.23873768,25.88979563,46.42372087,42.53191193,45.75655362,55.81965958,29.57774791,10.56348139,50.87150251,26.24191168,51.76105884,43.08788464,52.15023973,57.65436951,64.21484743
T1F42,16.6180701,14.36477246,,,,,,,,,,T1O37,24.64544295,32.954478,,,,,,,,,,,,,,,,,,,16.6180701,5.069919692,26.75790948,17.60388782,45.91093943,12.11147482,16.79037569,44.22206896,26.68668984,28.91058066,43.14348191,29.74453972,55.87525685,46.16426694,10.78590877,66.84645156,26.79788438,51.76105884,43.25471474,64.35567853,58.17327737,53.54017149
T1F43,16.6180701,17.32222561,,,,,,,,,,T1O40,21.969652,37.74273548,,,,,,,,,,,,,,,,,,,15.35059018,4.929088589,26.61707838,16.477239,45.91093943,11.2664882,17.45754294,31.44952268,26.5754953,46.64610995,43.59937953,45.08938638,56.26443775,29.52215064,12.03680906,66.49433552,27.131468,64.43723651,43.78285052,52.40042745,58.65512038,63.8812638
T1F44,16.3364079,20.13884766,,,,,,,,,,T1O41,22.2513142,35.48943784,,,,,,,,,,,,,,,,,,,14.22394136,4.788257487,26.61707838,15.49142128,46.19260164,10.28067049,17.67993202,42.94889146,27.35385709,46.75730449,43.97744097,29.89279911,57.43198043,29.54994927,11.6680751,50.80108696,27.74303798,51.90005201,44.28322595,63.93686107,59.07209991,53.92935238
T1F45,20.56134097,12.25230592,,,,,,,,,,T1O43,22.95546972,32.53198469,,,,,,,,,,,,,,,,,,,12.53396813,5.069919692,26.61707838,14.36477246,46.47426384,9.154021666,18.06911291,32.66895615,27.68744071,28.74378885,44.31102459,44.49634882,57.12068166,46.2439487,12.97265816,65.89390797,28.02102433,64.2704447,44.61680958,52.81740697,59.37788489,63.49208291
T1F46,21.26549648,16.19557679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54815041,5.351581897,26.61707838,13.23812364,46.89675715,8.30903505,18.23590472,41.72575151,28.24341341,46.75730449,44.58901094,30.02252607,58.17327737,29.74453972,12.91709918,51.0197619,28.4658025,52.09464246,45.00599047,63.49208291,59.83378251,54.42972782
T1F47,20.98383428,18.44887443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8439949,5.633244102,26.89874059,12.25230592,47.74174376,7.886541743,18.51389108,33.96993228,28.63259431,28.74378885,44.75580275,44.08863551,58.26593948,45.9789427,13.62133127,51.28848204,28.89204824,63.99245835,45.36737273,53.31778241,60.10064941,62.96390884
T1F48,18.30804333,20.42050987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.858177178,6.05573741,27.18040279,10.984826,48.44589928,7.18238623,18.62508562,40.43774808,29.26269671,46.6090451,45.31177546,30.24491515,58.78855383,30.01140662,13.73252581,64.97097031,28.96617793,52.26143427,45.70095635,62.93611021,60.4898303,55.04129779
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87235946,6.478230717,27.7437272,9.717346076,49.43171699,7.041555127,18.79187743,35.30426677,29.57774791,28.91058066,45.5063659,43.19907918,59.04430127,45.58976181,14.34409579,51.81665611,29.66114381,63.60327745,46.03453997,53.92935238,60.65662212,62.41349586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.168203948,7.18238623,28.44788271,8.590697255,50.41753471,6.900724025,18.90307197,38.58450573,30.15225303,46.31252633,46.00674134,30.5229015,59.5224378,30.5229015,14.17730398,64.34457439,29.80013699,52.70621243,46.28472769,62.32454023,61.04580301,55.70846504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.464048435,7.74571064,29.15203823,7.74571064,51.40335243,6.759892922,18.95866924,37.30576851,30.32831106,29.16076838,46.03453997,42.47631466,59.71146852,45.08938638,14.73327668,52.40042745,30.38946806,63.10290202,46.59051268,54.62431827,61.15699755,61.74076889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.759892922,8.449866153,29.85619374,6.900724025,52.38917015,6.478230717,,,30.93988103,45.92334543,46.47931814,41.72575151,60.32303849,44.4778164,14.5108876,63.67740715,30.47842369,53.20658787,46.81290176,61.60177571,61.4349839,56.33856744
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.337399615,9.154021666,30.56034925,6.196568512,53.65665007,6.478230717,,,31.10111312,29.56662845,46.67390858,30.9120824,60.43423303,31.41245783,14.78887395,63.04730475,30.90461582,62.52464446,46.97969357,55.24515445,61.54617844,60.99020574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.633244102,10.13983938,31.82782918,5.633244102,55.0649611,6.478230717,,,31.52365237,45.53416454,46.86849903,40.97518836,60.76781666,43.90331127,15.01126303,62.43573477,31.13447148,53.81815784,47.20208265,60.84194635,61.71297025,57.0150009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.351581897,10.8439949,32.67281579,5.210750794,55.0649611,6.478230717,,,31.74604146,30.05032471,47.20208265,40.23389142,60.93460847,32.07962508,15.17805485,52.85447182,31.41245783,62.07991224,47.4541083,56.19769805,61.8241648,60.23964259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.929088589,11.68898151,33.79946461,4.929088589,56.19160992,6.759892922,,,32.19081962,44.97819183,47.48006901,31.71824282,61.21259482,43.19907918,15.23365212,61.68517162,31.69044418,54.51312373,47.48006901,60.10064941,61.87976207,57.59877224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.647426384,12.53396813,35.20777564,4.929088589,57.17742763,7.18238623,,,32.4132087,30.68969332,47.48006901,39.55745796,61.32378936,32.74679232,15.4560412,53.42897695,31.91283327,61.37938663,47.59126355,57.22808548,61.99095661,58.37713402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.506595282,13.37895474,36.47525556,5.210750794,57.88158315,7.886541743,,,32.85798687,44.15535223,47.70245809,38.91808935,61.54617844,42.55044436,15.4560412,60.85121256,32.07962508,55.17102476,47.64686082,59.37788489,61.99095661,59.26669035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.506595282,14.36477246,37.60190438,5.492412999,58.44490756,8.590697255,,,32.93211656,31.33832814,47.8692499,32.37614385,61.65737298,33.43249199,15.67843028,54.0961442,32.30201416,60.61955727,47.75805536,58.26593948,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.365764179,15.20975908,38.7285532,6.337399615,58.86740086,9.576514973,,,33.3583623,32.02402781,47.92484717,38.1675262,61.8241648,41.92034196,15.62283301,60.15624668,32.4132087,55.9123217,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.506595282,16.19557679,39.85520202,7.041555127,59.28989417,10.42150159,,,33.3583623,43.39366963,48.14723625,33.08037595,61.93535934,34.13672409,15.73402755,59.54467671,32.58000051,59.82266306,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.647426384,17.32222561,40.55935753,7.604879538,59.57155638,11.82981261,,,33.81425992,33.41395957,48.2176518,36.58863264,62.04655388,41.28097335,15.91563764,55.31181757,32.63559778,56.59802137,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.788257487,18.02638113,41.26351305,8.731528358,59.71238748,13.09729254,,,33.69194592,32.66339642,48.31402806,33.914335,62.15774842,34.88728724,15.84522209,58.76631492,32.81720788,57.7025002,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.210750794,19.01219884,41.68600635,9.576514973,59.57155638,13.94227915,,,33.74754319,42.64310647,48.31402806,35.41925203,62.26894296,40.41921565,16.02683218,56.5497758,32.81720788,58.83305462,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.492412999,19.71635436,42.24933076,10.56233269,59.43072527,15.35059018,,,34.02552955,41.92034196,,,62.32454023,35.58225312,15.95641663,57.68216814,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05573741,20.56134097,42.67182407,12.25230592,59.28989417,16.3364079,,,34.24791863,34.24791863,,,62.43573477,36.30501764,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.478230717,21.26549648,42.81265517,13.80144805,59.00823197,18.02638113,,,34.24791863,41.22537608,,,62.43573477,39.52965933,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.041555127,21.82882089,43.09431738,15.06892797,58.72656976,19.01219884,,,34.68155436,37.59682711,,,62.54692931,37.47256032,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.604879538,22.39214531,43.09431738,15.77308349,58.30407645,19.99801656,,,34.41471044,34.91508587,,,62.54692931,38.61598021,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.30903505,23.09630082,42.95348628,16.6180701,57.88158315,20.98383428,,,34.41471044,40.58600746,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.013190563,23.51879413,,,,,,,34.52590498,35.52665585,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.717346076,24.08211854,,,,,,,34.52590498,39.97443749,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.70316379,24.50461184,,,,,,,34.63709952,36.58300399,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82981261,24.92710515,,,,,,,34.63709952,38.71798512,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81563033,25.06793625,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94227915,25.20876736,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06892797,25.20876736,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19557679,24.92710515,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.18139451,24.78627405,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30804333,24.50461184,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29386105,24.08211854,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.13884766,23.51879413,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26549648,22.67380751,,,,,,,,,,,,,,,,,,,,